"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] Broadcast","Início","Process ""origemCampanhaPadrao""","[""calendar.datetime"",""input.message"",""input.content"",""contact.extras.broadcastOrigem"",""contact.identity""]","origemCampanhaPadrao","Sem condicionais para execução"
"[BETA] Broadcast","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] Broadcast","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Broadcast","[BC.0.0.0] Identifica broadcast","Process ""blockDestinationId""","[""input.content"",""resource.broadcastList"",""contact.extras.broadcastOrigem""]","blockDestinationId","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","Process ""telephone""","[""contact.identity""]","telephone","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","Process ""encodingUrl""","[""config.clientId"",""config.grantType"",""config.clientSecret""]","encodingUrl","Sem condicionais para execução"
"[BETA] Broadcast","[Redirect] to Main (zera variaveis)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Broadcast","[Redirect] to Atendimento Humano (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""contaSelecionada""]","state","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.1.0][INPUT] Solicita CNPJ","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.3.0] Monta variavel contaSelecionada","Process ""contaSelecionada""","[""bodyAccountManager""]","contaSelecionada","Sem condicionais para execução"
"[BETA] Broadcast","[Redirect] to Finalizacao (finalizado)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Broadcast","[BC.0.0.0][HTTP] Reseta State ID","Process ""apiStatus""","[""statusDeleteStatus""]","apiStatus","Sem condicionais para execução"