"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] Broadcast","Início","Track ""Origem campanha [[canal]]""","Origem campanha {{origemCampanhaPadrao@canal}}","{{origemCampanhaPadrao@trackOrigemCampanha}}","context exists variable: origemCampanhaPadrao and context exists variable: origemCampanhaPadrao@trackOrigemCampanha "
"[BETA] Broadcast","[BC.0.0.0] Identifica broadcast","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.0.0.0] Identifica broadcast","Track ""{state.name} dados""","{{state.name}} dados","{{contact.identity}} | {{contact.extras.broadcastOrigem}} | {{userInput}} | {{blockDestinationId}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.1.0.0] Link New age","count_new_age_acesse_uso","count_new_age_acesse_uso","1","Sem condicionais para execução"
"[BETA] Broadcast","[BC.2.0.0] Link  boas vindas mbj ibj","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.3.0.0] Link de Pagamento","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","Tracking ""api resumo""","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/gerentes/v1/carteiras?dddCelular={{telephone@ddd}}&numeroCelular={{telephone@telephone}}&tipoPessoa=J | GET | {{statusAccountManager}} | {{bodyAccountManager}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.5.0.0] Redirect to Main","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.6.0.0] Redirect to Finalização","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.7.0.0] Link Pesquisa Pix","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.1.0][MSG] Solicita CNPJ","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.1.0][INPUT] Solicita CNPJ","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] Broadcast","[BC.4.1.0][INPUT] Solicita CNPJ","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] Broadcast","[BC.4.1.0][INPUT] Solicita CNPJ","Track ""{state.name} dados""","{{state.name}} dados","{{contact.identity}} | {{contact.extras.broadcastOrigem}} | {{userInput}} | {{userInput}} | {{input.content}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.2.0] Verifica carterização por CNPJ","Tracking ""api resumo""","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{userInput}}&codigoSegmento=0020 | GET | {{statusAccountManager2}} | {{bodyAccountManager}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.2.0] Verifica carterização por CNPJ","Tracking ""api resumo 2""","{{state.name}} api resumo 2","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{userInput}}&codigoSegmento=0017 | GET | {{statusAccountManager3}} | {{bodyAccountManager}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.4.3.0] Monta variavel contaSelecionada","Track ""{state.name} dados""","{{state.name}} dados","{{contact.identity}} | {{contact.extras.broadcastOrigem}} | {{userInput}} | {{userInput}} | {{input.content}} | {{contaSelecionada}}","Sem condicionais para execução"
"[BETA] Broadcast","[BC.0.0.0][HTTP] Reseta State ID","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Broadcast","[BC.0.0.0][HTTP] Reseta State ID","Tracking ""api resumo""","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | https://flowassistant.cs.blip.ai/api-states | DELETE | {{statusDeleteBody}} | {{statusDeleteStatus}}","Sem condicionais para execução"